Data,Tipo,Valor,Descrição,Documento,FITID
20250818,CREDIT,73134.00,"TRANSF 7973-9 86,78",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 426,78",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 196,68",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 104,46",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 7.190,53",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 291,14",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 654,42",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 6.510,66",,FB_7313400_20250818
20250819,DEBIT,-9145.69,TEGEX GAR 7731-34973,,FB_914569_20250819
20250819,DEBIT,-9188.51,TEGEX GAR 7731-34973,,FB_918851_20250819
20250819,CREDIT,73134.00,"TRANSF 7973-9 12.803,09",,FB_7313400_20250819
20250820,CREDIT,46.26,TEGEX GAR 7731-34973-9,,FB_4626_20250820
20250820,CREDIT,3300.30,PIX TRANSF MULTIPL20/08,,FB_330030_20250820
20250820,CREDIT,73134.00,"TRANSF 7973-9 11.163,87",,FB_7313400_20250820
20250820,DEBIT,-5238.02,SISPAG FORNECEDORES,,FB_523802_20250820
20250820,DEBIT,-1054.93,SISPAG FORNECEDORES,,FB_105493_20250820
20250820,DEBIT,-5000.00,SISPAG FORNECEDORES,,FB_500000_20250820
20250821,DEBIT,-9185.16,TEGEX GAR 7731-34973,,FB_918516_20250821
20250821,CREDIT,63.51,TEGEX GAR 7731-34973-9,,FB_6351_20250821
20250821,CREDIT,8366.36,PIX TRANSF PORT GA21/,,FB_836636_20250821
20250821,CREDIT,3336.44,PIX TRANSF MULTIPL21/08,,FB_333644_20250821
20250821,CREDIT,73134.00,"TRANSF 7973-9 13.621,58",,FB_7313400_20250821
20250821,DEBIT,-20616.97,SISPAG FORNECEDORES,,FB_2061697_20250821
20250821,DEBIT,-583.93,SISPAG FORNECEDORES,,FB_58392_20250821
20250821,DEBIT,-290.31,SALDO TOTAL DISPON#VEL DIA,,FB_29031_20250821
20250822,DEBIT,-9134.87,TEGEX GAR 7731-34973,,FB_913487_20250822
20250822,DEBIT,-9241.52,TEGEX GAR 7731-34973,,FB_924152_20250822
20250822,CREDIT,73134.00,"TRANSF 7973-9 12.905,50",,FB_7313400_20250822
20250825,CREDIT,73134.00,"TRANSF 7973-9 83,33",,FB_7313400_20250825
20250825,CREDIT,73134.00,"TRANSF 7973-9 248,00",,FB_7313400_20250825
20250825,CREDIT,73134.00,"TRANSF 7973-9 210,82",,FB_7313400_20250825
20250825,CREDIT,73134.00,"TRANSF 7973-9 6.272,97",,FB_7313400_20250825
20250825,CREDIT,73134.00,"TRANSF 7973-9 231,02",,FB_7313400_20250825
20250825,CREDIT,73134.00,"TRANSF 7973-9 14.071,93",,FB_7313400_20250825
20250825,CREDIT,73134.00,"TRANSF 7973-9 216,15",,FB_7313400_20250825
20250825,CREDIT,73134.00,"TRANSF 7973-9 4.036,19",,FB_7313400_20250825
20250825,CREDIT,73134.00,"TRANSF 7973-9 33,65",,FB_7313400_20250825
20250825,CREDIT,73134.00,"TRANSF 7973-9 5.423,81",,FB_7313400_20250825
20250825,CREDIT,73134.00,"TRANSF 7973-9 196,45",,FB_7313400_20250825
20250825,CREDIT,73134.00,"TRANSF 7973-9 273,16",,FB_7313400_20250825
20250825,CREDIT,73134.00,"TRANSF 7973-9 5.548,48",,FB_7313400_20250825
20250825,CREDIT,73134.00,"TRANSF 7973-9 475,59",,FB_7313400_20250825
20250825,CREDIT,73134.00,"TRANSF 7973-9 428,32",,FB_7313400_20250825
20250826,DEBIT,-9157.04,TEGEXGAR7731-34973,,FB_915704_20250826
20250826,DEBIT,-9275.40,TEGEXGAR7731-34973,,FB_927540_20250826
20250826,CREDIT,73134.00,"TRANSF 7973-9 19.258,75",,FB_7313400_20250826
20250827,CREDIT,73134.00,"TRANSF 7973-9 15.530,31",,FB_7313400_20250827
20250828,DEBIT,-9287.27,TEGEX GAR 7731-34973,,FB_928727_20250828
20250828,CREDIT,7.70,TEGEX GAR 7731-34973-9,,FB_770_20250828
20250828,DEBIT,-9283.70,TEGEX GAR 7731-34973,,FB_928370_20250828
20250828,CREDIT,73134.00,"TRANSF 7973-9 17.889,19",,FB_7313400_20250828
